food,pricerange,area,name,utts
international,,dontcare,,I am looking for international food anywhere in town.
japanese,,,,I'm looking for a place to eat that is japanese that is in the mid price range please.
lebanese,,centre,,"Hello, I am looking for a Lebanese restaurant in the centre of town."
italian,,north,,I am looking for Italian food in the north part of town.
,expensive,south,,I would like an expensive restaurant in the south part of town
austrian,,north,,I want a restaurant in the north part of town and serves austrian food.
,moderate,west,,I would like to find a moderately priced restaurant in the west part of town.
,expensive,centre,,I'm looking an expensive restaurant in the center.
catalan,moderate,,,"Yes, I am looking for information for a restaurant of moderate price serving catalan food."
,moderate,centre,,I'm looking for a moderately priced restaurant in the centre of town.
african,,,,I am looking for a restaurant in the centre that serves african food.
,moderate,south,,"A moderately priced restaurant in the south, please."
gastropub,,centre,,l am looking for a restaurant. The restaurant should serve gastropub food and should be in the center.
,expensive,south,,I am looking for an expensive restaurant in the south part of town.
thai,,centre,,I would like a restaurant in the centre of town that serves thai food
modern european,expensive,,,I am looking for a place to eat. I want to eat modern european food in the expensive price range please.
indian,,,,Are there any Indian restaurants there?
,moderate,north,,Do you know of any moderately priced restaurants in the north part of town? I'll need the address and phone number.
mediterranean,cheap,,,Can you give me some suggestions on restaurants? I'm interested in a cheap Mediterranean restaurant.
persian,,north,,I am looking for a restaurant in the north part of town serving persian food.
british,expensive,,,"Yes, I would be interested in the British food fare that is available. Just a nice local restaurant with good expensive food would be nice. Thank you."
,cheap,east,,I am looking for a cheap place to eat in the east part of town.
,,,,"Hello, can you recommend local restaurants?"
italian,expensive,centre,,"Hello, I need some assistance with finding a nice Italian restaurant in centre of Cambridge."
mexican,,,,"Hello, I am looking for a restaurant that serves Mexican food."
portuguese,expensive,,,Are there any expensive Portuguese restaurants in Cambridge?
thai,dontcare,,,"Don't care about price, just looking for thai food."
,,,la tasca,I'm looking for info on a restaurant called La Tasca.
greek,cheap,,,I would like a cheap restaurant that serves greek food
,expensive,south,,"Hello, I am looking for an expensive restaurant on the south side of town."
,cheap,east,,I want to find a cheap restaurant in the east part of town.
french,expensive,,,I am looking for an expensive French restaurant.
,,,j restaurant,"Hi, Have you heard of the J Restaurant? I'd like some information about it."
,expensive,east,,I'd like to find an east side restaurant that is expensive.
,moderate,north,,I am looking for a restaurant in the moderate price range and in the north part of town.
,,centre,,"I'm looking for a restaurant in the centre, please."
korean,expensive,,,I'm looking for a Korean restaurant that's expensive.
,expensive,centre,,I'd like to find an expensive restaurant in the centre of town.
british,moderate,,,Are there any moderately priced places to eat with British styled food?
international,,,,I'm looking for a restaurant that serves international food.
asian oriental,,centre,,I am looking for a restaurant. The restaurant should serve asian oriental food and should be in the centre
japanese,,south,,I am looking for Japanese food in the south part of town.
,expensive,west,,I am interested at eating at an expensive place in the west part of town.
,,,bedouin,"Hi, I'm looking for a particular restaurant named Bedouin. Can you help?"
,cheap,west,,I'm looking for a cheap restaurant in the west.
lebanese,,,,Are there any Lebanese restaurants in the city?
,,,,Can you help me find a resturant?
indian,expensive,,,I am looking for a place serving expensive indian food
chinese,expensive,,,I am looking for an expensive chinese restaurant to eat at.
,cheap,south,,Can you recommend a restaurant to me in the South part of town? I don't want to spend a lot of money.
british,moderate,,,I want to find a moderately priced restaurant that serves british food. What is the address and phone number?
,,,hakka,"Hi, what can you tell me about a restaurant called hakka?"
,,,bloomsbury restaurant,I'd like to find out more about the bloomsbury restaurant
,moderate,west,,I am looking for a restaurant that is in the moderate price range and in the west part of town.
,expensive,east,,I need the address of an expensive restaurant in the east part of town.
,cheap,,,I am looking for a cheap place to have a meal.
,moderate,centre,,"Hello, I'm looking for a place to eat - moderately priced in the centre area."
,,,bangkok city,Hi! Can you give me some information on the Bangkok City restaurant?
,expensive,south,,I am looking for a restaurant in the south part of town in the expensive price range. Can you help me find one?
south indian,,,,I am looking for a restaurant in Cambridge that serves south indian food.
seafood,,centre,,"I am looking for a restaurant that sell seafood,will prefer one in the center of the city."
,moderate,west,,I'm wanting to find a restaurant. The location I want is the west and I want something in the moderate price range. Can you help me?
,moderate,south,,I am looking for a moderate priced restaurant in the south part of town. Could you recommend me three restaurants?
italian,,centre,,I am looking for an Italian restaurant in the centre of town.
,,,chiquito restaurant bar,"Yes, can you lookup the chiquito restaurant bar for me."
spanish,expensive,,,"Yes, I am looking for a restaurant in the area. It should serve Spanish food, and it should also be in the more expensive price range. Can you possibly help me?"
,,,j restaurant,Hello I am looking for a restaurant called J restaurant
,cheap,north,,"I would like a cheap restaurant in the north part of town, please."
welsh,,north,,I'm looking for a restaurant in the north part of town that serves Welsh food.
,,,,Hello there. I am traveling to Cambridge and am most looking forward to trying some of your local restaurants. Can you help me find a good one?
,expensive,centre,,I am looking for a restaurant to dine at in the centre of town. Could you recommend me any expensive places to try?
,,,,I'm looking for specific restaurant.
,,,sala thong,Can you help me find a place to eat called sala thong?
italian,,,,I would like to know if there is an Italian restaurant nearby me.
,,,,"Hello, I'd like to get some info about a restaurant in Cambridge!"
,moderate,north,,I'd like to find a moderately priced place located in the north part of town.
jamaican,moderate,,,I want to eat. I am looking for a Jamaican restaurant with a moderate price range please.
,moderate,,,I am looking for a moderately priced restaurant please.
,,,rice boat,"Hi, is there a restaurant in town called the rice boat?"
,moderate,north,,I am looking for a moderately priced restaurant in the north part of town.
indian,,centre,,Can you help me find a restaurant that serves indian food in the centre?
,expensive,south,,"Can you help me find a restaurant in the south that doesn't cost a lot of money. In fact, I need one that's quite inexpensive."
portuguese,,,,Where can I find portuguese food?
new zealand,,south,,I need to find a restaurant in the south to dine at that serves New Zealand food. Can you help?
corsica,,,,Can you find me a corsica restaurant?
indian,,centre,,I need an indian restaurant in the centre.
,,,,"Hi, I'd like some info on where to eat in Cambridge!"
latin american,moderate,,,I'm looking for a latin american restaurant in the moderate price range.
,cheap,east,,"I would like a cheap restaurant in the east part of town, please."
,,,,I'm looking for a place to eat.
,cheap,west,,I am looking for a cheap restaurant in the west part of town. Could I get the address and phone number please?
danish,expensive,,,I want an expensive restaurant and serves danish food.
asian oriental,expensive,,,Can you help me find an expensive asian oriental restaurant to dine at?
,,,loch fyne,Can you find the restaurant names Loch Fyne?
asian oriental,,,,We want to try a local restaurant that serves Asian or oriental food.
gastropub,,east,,I'm looking for a gastropub in the east.
,moderate,north,,I'm looking for a moderately priced restaurant in the north part of town
turkish,,centre,,I want to find a restaurant in the centre part of town and serving Turkish food.
european,expensive,,,What do we have to eat in the expensive european food range?
swedish,cheap,,,I want to find a cheap restaurant serving swedish food
,,east,,I need the phone number and post code of a restaurant in the east part of town.
polish,,,,I need the address and phone number of a restaurant that serves polish.
welsh,moderate,,,I want some welsh food. Moderately priced please.
british,,centre,,"Hi, I am looking for a British-themed restaurant in the centre."
chinese,,,,"Greetings, I'm looking for a Chinese restaurant to take some clients."
thai,expensive,,,I'm looking for an expensive restaurant that serves Thai food.
european,expensive,,,"I am looking for an upscale restaurant with European food, please."
japanese,expensive,centre,,Give me an expensive japanese place to eat in the centre of the town please.
indian,,centre,,I'm looking for a place to dine that serves indian food in the centre.
creative,expensive,,,Would you happen to have any expensive Creative restaurants?
,expensive,centre,,I am looking for an expensive place to eat in the centre of town.
,expensive,centre,,Are there any expensive restaurants in the centre of town?
,cheap,north,,I am looking for a cheap restaurant in the north part of town.
,,,graffiti,Can you give me information on a restaurant called graffiti?
korean,,,,I'd like a restaurant with Korean food please.
,,,pizza express,I need some information on a place called Pizza express.
scottish,,dontcare,,I want to find a restaurant in any area and serves scottish food.
,,centre,,Any good places to eat in centre?
,moderate,west,,moderately priced restaurant in the west part of town please
british,,west,,I am looking for a place to dine. The restaurant should be in the west and should serve british food
,,,graffiti,Hello. I'm trying to find a restaurant called Graffiti. Can you help me locate it?
,,,,"Hello, I'd like some information on a restaurant today."
chinese,,east,,I want to find a chinese restaurant in the east. Do you know of any?
international,moderate,,,"I need the address, phone number and postcode for a moderately priced restaurant serving international food."
mexican,moderate,,,I would like a moderately priced restaurant that serves mexican food
,expensive,south,,Could you please help me find an expensive restaurant in the south part of town?
chinese,,centre,,I am looking for a Chinese place in the centre.
,expensive,centre,,I'm looking for an expensive restaurant in the city centre.
,cheap,north,,Is there a cheap restaurant in the north part of town?
unusual,expensive,west,,I'm looking for unusual and expensive cuisine in the west. Do you have any suggestions?
,,,pizza hut city centre,What is the address for find pizza hut city centre?
chinese,,east,,I'm planning your trip in Cambridge.i'm looking for a place to dine in the east with chinese food
chinese,,,,Can you find me a Chinese restaurant please?
,expensive,east,,I would like an expensive restaurant in the east part of town
chinese,,north,,I'm looking for a restaurant on the North end that serves yummy Chinese food
,,,pizza hut fenditton,I'm looking for pizza hut fen ditton.
,expensive,south,,"Hi, I'm looking for an expensive restaurant in the south part of town."
,,,,Hi. Can you help me find a restaurant?
swiss,,,,I would like a restaurant that serves swiss food
spanish,,centre,,"Hello, I am looking for a restaurant that serves Spanish food in the centre of town."
,,north,,Can I ask you for a restaurant suggestion in the north today?
,expensive,centre,,I am looking for an expensive restaurant in the centre
turkish,expensive,,,I would like an expensive restaurant that serves turkish food
,,,peking restaurant,Do you know where I can find the Peking Restaurant?
seafood,moderate,,,I'm looking for a seafood restaurant in the moderate price range.
,cheap,centre,,I am looking for a restaurant. The restaurant should be in the centre and should be in the cheap price range
,cheap,west,,I am looking for a cheap restaurant in the west part of town.
vietnamese,cheap,,,I would like a cheap restaurant that serves vietnamese food
danish,,,,I am looking for an expensive Danish place.
indian,,centre,,Hello! Can you tell me about the Indian restaurants you have in the center of town?
australian,cheap,,,I am looking for a restaurant that serves Australian food and in the cheap price range.
,,,,Can you help me find a restaurant?
,,east,,I'm looking for a restaurant in the east.
,,,meghna,I'm looking for a restaurant called Meghna.
danish,,centre,,I am looking for a danish restaurant in the centre of town.
spanish,,centre,,I would like a restaurant in centre city serving spanish food.
,,,,I am looking for a particular restaurant
moroccan,expensive,,,Find me an expensive moroccan restaurant please.
,,,peking restaurant,Can you tell me more about the peking restaurant? Thank you.
turkish,,,,I want turkish food.
,,,tandoori palace,Can you tell me where the restaurant Tandoori Palace is located?
spanish,moderate,dontcare,,can you tell me if there is a moderately priced restaurant serving spanish food anywhere in town?
european,expensive,,,Yes I am looking for a local restaurant to dine that will serve expensive european food
indian,,south,,I'm looking for an indian restaurant in the south area of town.
indonesian,,,,"Hello, I am looking for an Indonesian restaurant. Can you help me with that?"
danish,,,,I am looking for a danish restaurant
,cheap,centre,,Can you help me find a cheap restaurant in the centre of town?
italian,moderate,,,I need help locating a moderately priced Italian restaurant.
,,,hakka,I'm looking for a restaurant named hakka
,cheap,east,,Please find a cheap restaurant in the east part of town.
vietnamese,,,,I'm looking for vietnamese food. I would like the restaurant name and address.
,,,j restaurant,I'm looking for a particular restaurant called j restaurant.
indian,cheap,,,"Hi, I'm looking for a place to eat, preferably a cheap South Indian restaurant."
swiss,,east,,I am looking for a place to dine. The restaurant should be in the east and should serve swiss food
brazilian,,centre,,"Hello, I am looking for a restaurant in the centre of town that serves Brazilian food."
,,,,Hello! Can you give me some info on a restaurant please?
world,dontcare,,,"I would like a restaurant that serves world food. It should be a really good restaurant, and it's OK if it's expensive."
venetian,,west,,Hi. I'm trying to find a restaurant that serves Venetian food. I'd like to stay in the west part of town. Can you find me a phone number?
turkish,,centre,,Find me a turkish restaurant in the centre please
,,centre,,"Yes, please help me find a restaurant in the center of town."
,moderate,centre,,I am looking for a restaurant in the center with a moderite price range.
gastropub,,,,I want to eat gastropub food.
,expensive,south,,I'd like an expensive restaurant in the south part of town.
,,centre,,I'd like to find a good restaurant in the center.
chinese,,centre,,I'm looking for a chinese food restaurant in the centre.
sri lankan,moderate,,,Can you help me find a restaurant that serves sri lankan food that is moderately priced?
turkish,,centre,,I am craving Turkish food in the centre. Is there a restaurant available?
,,,rice boat,Can you help me find a restaurant i am looking for? Its name is the Rice Boat.
,expensive,east,,I would like an expensive restaurant in the east part of town
,,,panahar,"Hi, could you help me find out more information about Panahar restaurant in your area?"
indian,,centre,,"Please, if you can, find me a restaurant in the centre that serves Indian food"
,expensive,centre,,Please help me locate an expensive restaurant located in the centre. Thanks.
,cheap,west,,Hi. Can you help me find an inexpensive restaurant on the West side of town?
european,dontcare,,,I don't care about the price range. Just recommend me a restaurant that serves European food. I would also like to get the phone number and directions.
thai,,,,"Hello, I am looking for a restaurant that serves Thai food."
,expensive,west,,i am looking for a restaurant. The restaurant should be in the expensive price range and should be in the west.
italian,cheap,,,I would like a cheap restaurant which serves italian food
italian,,centre,,I am looking for a restaurant in the centre of town serving italian food.
italian,cheap,,,"Hi, I am looking for a cheap Italian restaurant please."
vietnamese,,east,,I'm looking for a place to dine that serves Vietnamese food in the East.
indian,moderate,,,I am looking for a place to dine in the moderate price range that serves indian food.
korean,expensive,,,I want expensive Korean food. I want the address and area of town.
north african,,,,I'm looking for a North African restaurant.
international,,east,,I want to find some international food in the east part of town.
scottish,cheap,,,Would you happen to know if there are any cheap restaurants with scottish cuisine?
,,south,,Are there any casual restaurants in the south?
,moderate,east,,Can you find a moderately priced restaurant in the east side?
,,,,Where is the closest pizza joint?
italian,,east,,May I have information for an italian restaurant in the east part of town?
eritrean,,,,"Hi, I'm looking to try Eritrean food. Do you have a restaurant listing?"
spanish,moderate,,,i am looking for a spanish restaurant in the moderate price range
,,,,Can you help me find a place to dine in Cambridge?
cuban,,,,I'm looking for a cuban restaurant.
european,,west,,"I would like a European restaurant in the west part of town, please."
,cheap,centre,,I am looking for a restaurant in the centre in the cheap price range
,cheap,west,,I'm looking for a cheap restaurant in the west part of town. I'd also like the restaurant's phone number.
,,,,I am looking for a restaurant
portuguese,,dontcare,,I need some portuguese food! I need a restaurant in any area. Please give me a phone number.
irish,,centre,,I would like to find a restaurant in the centre of town that serves irish food
,moderate,north,,"Hello, I am looking for a moderately priced restaurant on the north side of town."
british,,west,,I'm looking for a British restaurant on the west side.
indian,expensive,,,I'd like you to tell me about great Indian restaurants in the area. It's okay if they are expensive.
french,expensive,,,I am looking for an expensive French restaurant in town.
indian,,centre,,I want to find a place to eat that serves indian food in the centre of town.
modern european,,centre,,I need a place to dine in the center that serves modern European food.
turkish,expensive,,,I am looking for a place to eat in expensive price range that serves Turkish food.
,,centre,,Sure. I am looking for a restaurant near the centre of Cambridge.
,,,saffron brasserie,I need information on a restaurant called saffron brasserie please.
,expensive,centre,,i want a reservation that has expensive price range and should be in the centre
chinese,,centre,,Can you find a restaurant in the centre that serves chinese food?
,,east,,I am looking for a restaurant on the eastern side of town.
northern european,,west,,"Hi, I am looking for restaurant in the west, somewhere that serves Northern European food."
,moderate,centre,,Hi I am looking for a place to eat that is in the moderate price range and also in the centre.
,,,travellers rest,Is the travellers rest restaurant still open?
,expensive,centre,,I am looking for a restaurant in the expensive price range in the centre.
world,,centre,,"Yes, I'm looking for a restaurant in the centre what serves world food."
european,moderate,,,I would like a moderate european place to eat.
british,expensive,,,I'm looking for an expensive place to get some British food.
,moderate,east,,"A moderately priced restaurant in the east part of town, please"
caribbean,,,,"Hi, I'm looking for a restaurant that serves Carribbean food. Do you have any like that?"
spanish,,,,I'm looking for a place serving spanish food somewhere in town.
,,,curry garden,I am looking for a restaurant called curry garden.
,expensive,,,I am looking for a restaurant in the expensive price range.
,moderate,north,,I would like a moderately priced restaurant in the north part of town.
chinese,,,,I'm looking for a place that has Chinese food.
,,,cafe uno,I am looking for a particular restaurant. Its name is called cafe uno.
,expensive,,,Help me find an expensive restaurant.
indian,,west,,I'm looking for an Indian restaurant in the west.
british,expensive,,,What are some expensive british restaurants to dine at?
polish,moderate,,,I am looking for a polish restaurant that is in the moderate price range.
french,,south,,I am looking for a restaurant. The restaurant should be in the south and should serve french food
asian oriental,expensive,,,Could you help me find an expensive asian oriental restaurant?
,,,,Can you help me find a place to dine?
romanian,expensive,,,"I would like an expensive Romanian restaurant, please."
irish,,,,I would like a restaurant that serves irish food
international,,centre,,I'm looking for a place to dine in the centre that serves international food.
indian,,centre,,"I'm in the city centre right now, and I'm really craving some Indian food. Can you help me find a place?"
christmas,,south,,"Hello, I am looking for a restaurant on the south side of town that serves christmas food."
mediterranean,expensive,,,Could you recommend an expensive restaurant that serves Mediterranean food?
,cheap,centre,,I am looking for a restaurant in the city's center that is in th cheap price range.
,,,nandos city centre,"Hi, I am looking for a restaurant called nandos city centre."
chinese,,centre,,"Hello. I'm looking for a restaurant that serves good Chinese food, preferable in the city centre. Can you help me locate one?"
modern,,centre,,"Need a place to eat, modern euro food at the centre."
,cheap,east,,I am looking for a restaurant that is in the cheap price range and in the east part of town.
venetian,moderate,,,Please suggest me a venetian restaurant in the moderate price range .
caribbean,,east,,"Caribbean food in the east part of town. If no such place, Indian."
,expensive,east,,I am looking for an expensive restaurant in the east part of town.
,,,,I'm looking for a place to eat tonight.
,,,,"Hi, I am traveling to Cambridge and am so excited to try some of your local restaurants. Can you help me choose one?"
australasian,,north,,Can you recommend a good restaurant in the north part of town that serves Australasian food?
african,dontcare,,,I am looking for a place that serves African food. I don't care about the price range.
irish,expensive,,,"I'm trying to find an Irish restaurant that can provide me with some unique fine dining. I expect this to be expensive, can you give me some options?"
modern global,cheap,,,Hello! I'm looking for a cheap restaurant that serves modern global food.
crossover,,,,I'm looking for some places that serve crossover food.
,cheap,west,,I would like to dine at a cheap restaurant on the west side of town. What are my choices?
african,expensive,,,I am wanting an expensive restaurant that offers African food. What is their number?
,,,copper kettle,I was told about a great place to eat called the copper kettle.
,cheap,,,I'm trying to plan a trip there. I need to find a cheap restaurant.
austrian,,,,"I'm looking for a place to eat, maybe Austrian food."
international,moderate,,,i am looking for a place to dine. The restaurant should be in the moderate price range and should serve international food.
basque,,centre,,"I am looking for Basque food, in the Centre of town."
new zealand,expensive,centre,,"Hi, I'm looking for a restaurant that serves expensive new zealand food and is in the center area."
swedish,cheap,,,Is there a cheap swedish restaurant in town?
venetian,,centre,,"Hello, I am looking for a venetian restaurant in the centre of town."
,,,loch fyne,I'm looking for a restaurant called Loch Fyne. Can you tell me a bit about it?
,expensive,south,,i want an expensive restaurant in the south part of town.
thai,expensive,,,Can you help me find and expensive Thai restaurant?
,,,cocum,I am looking for a restaurant called Cocum.
,cheap,south,,I am looking for a restaurant that is in the south part of town and in the cheap price range.
european,expensive,,,"Hello, I am looking for an expensive restaurant that serves european food."
,cheap,,,I'm looking for a cheap restaurant. Can you help me?
,expensive,south,,"Hi, I am looking for an expensive restaurant in the south."
gastropub,,east,,I would like to find a restaurant in the east part of town that serves gastropub food.
,expensive,east,,I am looking for an expensive restaurant that is in the east part of town.
,,,the varsity restaurant,I'm looking for some information on a restaurant called the varsity restaurant.
,expensive,south,,I want to find an expensive restaurant in the south part of town. What is the address?
,,,,"Hello, I can't wait to try some local restaurants when I travel there next week. I could use some help with places to go in town though."
,cheap,,,I need to find a cheap place to eat in Cambridge.
,cheap,north,,I'm looking for a cheap restaurant in the north part of town.
indian,moderate,,,I am looking for a place to eat in Cambridge thats is indian with moderate pricing
,expensive,centre,,I am looking for an expensive restaurant in the centre
,expensive,east,,Are there any expensive places to eat in the east?
british,,centre,,Please help me find a restaurant that serves british food near the centre of town.
indian,expensive,,,I would like to find an expensive Indian restaurant in Cambridge.
european,,south,,I need to find a modern european restaurant in the south please.
,,,,Got any fish and chip shops on the westside?
,,,backstreet bistro,I am looking for the address and phone number for the Backstreet Bistro please.
scandinavian,cheap,,,Is there an inexpensive restaurant which serves Scandinavian food?
,cheap,west,,I'm looking for an inexpensive restaurant in the west section of Cambridge.
chinese,cheap,,,I'm on a tight budget so I need to find a cheap restaurant that serves chinese food
,,,eraina,I need to get some information on a restaurant named eraina
indian,expensive,,,Hi! I'd like to find an expensive Indian restaurant to dine at.
indian,,centre,,"I'm wanting Indian food, is there a restaurant that serves that near the centre of town?"
indian,,west,,"Hi, i am looking for a indian restaurant on the west side of town."
european,moderate,,,I would like to find a European in the moderate price range.
russian,moderate,,,"Need a place to eat with moderate prices, but needs to have russian food."
,moderate,centre,,Yes I am looking for a moderately priced restaurant in the center of town.
seafood,,centre,,Hello there. Any suggestions on a good seafood restaurant located in the centre of town?
,cheap,west,,I am looking for a cheap restaurant in the west part of the city please.
,,,,I have a particular restaurant that I need to find please.
polish,moderate,,,I'm looking for a moderately priced polish food restaurant.
caribbean,cheap,,,I need some cheap Caribbean eats somewhere.
,,,,I want to try some local restaurants. What are your recommendations?
modern european,,centre,,I am looking for a restaurant in the centre that serves modern European food.
,,,kymmoy,"I'd like some information on a restaurant called Kymmoy, please."
chines,cheap,,,Hey any ideals for a cheap chines restaurant ?
,expensive,south,,"I want to visit an expensive restaurant in the south part of town. I need the address, phone number, and type of food."
,,,travellers rest,Hi! I am attempting to find a restaurant in Cambridge called Traveller's Rest. Do you know of it?
african,expensive,north,,Can you help me find an expensive restaurant in the north that serves African?
belgian,,,,I'm looking for a restaurant that serves belgian food
,,,the cow pizza kitchen and bar,Yes can you tell me something about the Cow Pizza Kitchen and Bar?
,moderate,,,Can you find me a restaurant with a moderate price range?
,,,,I'm hoping you can help me find a restaurant.
malaysian,,north,,"Hello, I am looking for a Malaysian restaurant on the north side of town."
,moderate,,,"I'm looking for a restaurant, somewhere not too expensive, but not bottom of the barrel either, something in the mid range."
,moderate,centre,,I am looking for a restaurant. The restaurant should be in the moderate price range and should be in the centre
,,,galleria,Where can I find the galleria restaurant?
,expensive,centre,,I'm trying to find an expensive restaurant in the centre of town.
welsh,,,,I'm looking for a place to dine that serves welsh food.
mediterranean,expensive,,,I am looking for an expensive restaurant serving mediterranean food.
,expensive,west,,"In the west part of town, are there any upscale pricey restaurants?"
french,expensive,,,"Hi, I want a French restaurant in the expensive price range."
basque,,west,,"Hi, I'm looking for a Basque restaurant in the west part of town."
polish,,north,,"Hello, please find me a place to dine in the north area that serves polish food."
persian,,centre,,I am looking for a restaurant. The restaurant should be in the centre and should serve persian food
indian,moderate,,,I would like a moderately priced Indian food please.
kosher,expensive,,,"Hi, I'm looking for an expensive restaurant that serves kosher food."
,cheap,west,,I am looking for a place to dine. The restaurant should be in the west and should be in the cheap price range
,,,slug and lettuce,I am looking for a restaurant called the Slug and Lettuce.
,,centre,,"Hello, I'd like some information on a restaurant in the centre."
,cheap,north,,Is there a cheap restaurant in the north part of town?
australian,expensive,,,i need to eat australian food in a place that is expensive
,expensive,centre,,"I'd like to find a restaurant. The restaurant should be expensive in price, only the finest in food. Also, I'd like it if the restaurant was in the centre of town."
jamaican,,south,,"Yes, I'd like some information on finding a particular restaurant. The restaurant should serve a variety of Jamaican food and ideally I'd like it to be located in the south please."
,expensive,north,,I need to find an expensive restaurant on the north side.
,,,luca cucina and bar,Can you help me with some information on a restaurant called luca cucina and bar?
molecular gastronomy,cheap,,,"I'm looking for a place to dine, in the cheap price range, that serves molecular gastronomy."
,cheap,centre,,Are there cheap places to eat in the centre part of town?
austrian,,,,"Hi, I'm looking for a cheap austrian restaurant."
,expensive,centre,,"Hello, I'd like to dine at an expensive restaurant in the centre. Any suggestions?"
north american,,,,I want to eat some north american food
,cheap,,,I am looking for a place to eat that is cheap.
north indian,,centre,,"Hi, I am looking for a north Indian restaurant in the town centre?"
,expensive,centre,,Hi! I am looking for a nice place for dinner. I would like something in the centre that's expensive.
mexican,,,,i'm looking for a mexican restaurant
modern european,cheap,,dontcare,I'm looking for a cheap restaurant that serves modern european food.
,moderate,west,,I would like a moderately priced restaurant in the west part of town
thai,expensive,,,I am looking for a restaurant in the expensive price range that serves thai food.
,moderate,centre,,I need a moderately priced restaurant in the centre.
,expensive,,,I need an expensive restaurant.
,expensive,east,,I AM looking for a restaurant. The restaurant should be in the expensive price range and should be in the east.
italian,,centre,,Can you help me find a restaurant in the centre of town serving Italian food?
,moderate,,,I'm looking for a restaurant in a moderate price range.
creative,,south,,"I want the creative food, sir. oh and this needs to be in the south as well."
,expensive,centre,,"Yes, I am going for luxorious today. I need to find an expensive restaurant in the centre."
british,expensive,,,I am looking for an expensive restaurant that serves British food please.
kosher,moderate,,,I'd like a Kosher restaurant that's in the moderate price range.
,expensive,,,I'm so hungry! Can you find me an expensive restaurant?
catalan,moderate,,,"Hello, are there any moderate catalan restaurants in town?"
belgian,,centre,,Find me a restaurant that serves belgian food in the centre
,,,rajmahal,"I'm looking for the information on a restaurant named Rajmahal, could you provide me their info?"
,cheap,centre,,I'm looking for cheap food in the centre.
gastropub,expensive,,,i need a place to dine in Cambridge with expensive gastropub food
,cheap,centre,,I'm looking for a cheap restaurant in the centre.
,moderate,west,,I am looking for a moderately priced restaurant in the west part of town.
,moderate,west,,I'm looking for a moderately priced restaurant in the west part of town.
italian,expensive,,,I'm looking for a restaurant. The restaurant should serve italian food and should be in the expensive price range.
chinese,,,,I'm looking for a Chinese restaurant please. Or one that serves Chinese food.
chinese,,,,Can you find me a Chinese restaurant?
,,,tandoori palace,Where is the restaurant called Tandoori Palace?
vietnamese,dontcare,,,I am looking for a restaurant that serves Vietnamese food. I don't care about the price range.
,expensive,west,,I'm looking for an expensive restaurant in the west part of town.
british,expensive,,,looking for a place to dine. The restaurant should serve british food and should be in the expensive price range.
,expensive,centre,,Can you help me find an expensive restaurant in the town centre?
hungarian,,west,,I would like a Hungarian restaurant in the west of town.
,expensive,south,,I'm looking for an expensive restaurant in the south.
,expensive,south,,I'd like an expensive restuarant in the south part of town.
thai,expensive,,,I am looking for the address and phone number of an expensive restaurant serving Thai food.
asian,expensive,,,Can you help me find a nice Asian restaurant to dine at in Cambridge?
moroccan,moderate,,,I am looking for a restaurant that serves Moroccan food and is moderately priced.
,,,,"Hello, I'd like some information on a restaurant today."
italian,moderate,,,I need an italian place in the moderate price range to eat at.
,,,,I am looking for a place to dine in Cambridge
vegetarian,,,,I am looking for a restaurant serving vegetarian food.
,,,little seoul,"My friend recommended Little Seoul, but I need some help locating it."
italian,,centre,,Please locate me an italian restaurant in the Centre area.
,,,,"Hello, can you recommend any local restaurants?"
,moderate,south,,Can you recommend a moderately priced restaurant in the South part of town?
,,,,"I am looking for a local restaurant, and also places to go while I am in Cambridge"
african,cheap,,,I would like to find a cheap African restaurant in the area.
,,,pizza hut city centre,Hi. Have you heard of Pizza Hut City Centre by chance? I may want to eat there soon.
,,,,Hello. I am interested in finding some good local restaurants. Do you have any that you would suggest?
french,expensive,,,I want an expensive french place to dine in.
,,,,Can you help me locate a place to eat tonight?
,cheap,south,,I want to find a cheap restaurant in the south part of town.
,expensive,west,,I need to find an expensive restaurant in the west.
chinese,,centre,,Are there any Chinese restaurants in the centre part of town?
australasian,,east,,Are there any restaurants serving australasian food in the east part of the city?
,,,loch fyne,Can you help me find a restaurant in Cambridge called Loch Fyne?
,,,yippee noodle bar,I am looking for information on the Yippee Noodle bar.
,expensive,south,,"I'm looking for a nice, expensive restaurant on the south side of town."
,cheap,centre,,I'm looking for a cheap restaurant in the city centre.
chinese,expensive,,,I'm looking for a high scale chinese restaurant.
,,,j restaurant,I am looking for a restaurant called J Restaurant.
,cheap,east,,I want a cheap restaurant in the east part of town. What is the address and postcode?
,,,hk fusion,"Hi, I'm trying to find a restaurant called HK Fusion. What info can you get me for that?"
,,,the oak bistro,What type of food does the Oak Bistro in Cambridge serve?
,moderate,east,,"Hello, I am looking for a moderately priced restaurant on the east side of town."
indian,expensive,,,i am looking for a place to dine. The restaurant should be in the expensive price range and should serve indian food.
,expensive,east,,I want to find an expensive restaurant in the east part of town.
traditional,,,,i want somewhere that serves traditional food.
,,,,Can you help me find a place to have dinner?
,cheap,west,,"I am looking for a restaurant in West Cambridge, in the cheaper price range please."
,expensive,centre,,I'm looking for an expensive restaurant in the centre. Thank you.
,expensive,centre,,Could you help me find an expensive restaurant in the centre?
,,centre,,I am looking for a place to dine in the centre of town
korean,expensive,,,I am looking for an expensive Korean restaurant. Can you tell me my options please?
modern american,,,,Are there any restaurants in town that serve modern american food?
